dance,level,step
Waltz,1,Left Turning Box
Waltz,1,Underarm Turn Right
Waltz,1,Progressive
Waltz,1,Balance Steps
Waltz,2,Right Turning Box
Waltz,2,Simple Twinkle
Waltz,2,Two Way Underarm Turn
Waltz,2,Balance and Box
Waltz,2,Face-to-Face Back-to-Back
Waltz,2,Turning Twinkles
Waltz,2,Reverse Turn
Waltz,2,Reverse Turn w/UAT
Waltz,3,Natural Turn
Waltz,3,Natural Turn w/UAT
Waltz,3,Progressive Twinkles
Waltz,3,Grapevine
Waltz,3,Promenade Chasse
Waltz,3,Twinkle & Weave
Waltz,3,Waterfall
Waltz,3,Spin Turn
Rumba,1,Box Step
Rumba,1,Slow Underarm Turn
Rumba,1,Rumba Walks Fwd and Back
Rumba,1,5th Position Breaks
Rumba,2,OpenBreakUnderarmTurn
Rumba,2,Cross Body Lead
Rumba,2,Outside Partner Breaks
Rumba,2,Cross Over Breaks
Rumba,2,Cross Over and Side Rocks
Rumba,2,Open Rumba Walks
Rumba,2,Shoulder Check
Rumba,2,Cradle Circle
Rumba,3,5thPositionBreakswithTurn
Rumba,3,Reverse Underarm Turn
Rumba,3,Quick Underarm Turn and Loop
Rumba,3,Open Rumba Walks with Spiral Turns
Rumba,3,5th Position Breaks with Turn - variations
Rumba,3,Curl Progressive to UAT and Rocks
Rumba,3,Open Circular Walks
Rumba,3,Spot Turn Combination
Cha Cha,1,Basic in Place
Cha Cha,1,Side Basic
Cha Cha,1,Progressive Basic
Cha Cha,1,Crossover Breaks
Cha Cha,2,Outside Partner Breaks
Cha Cha,2,Cross Body Lead
Cha Cha,2,OpenBreakUnderarmTurn
Cha Cha,2,Chase Turns
Cha Cha,2,Shoulder Check
Cha Cha,2,Cross Body Lead to Reverse UAT
Cha Cha,3,Shadow Positions
Cha Cha,3,Butterfly
Cha Cha,3,Alternating Underarm Turns
Cha Cha,3,Three Cha Chas
Cha Cha,3,Cross-Body Pull Back
Cha Cha,3,Crossover Flick to Side Break
EC Swing,1,Basic
EC Swing,1,Underarm Turn
EC Swing,1,Basic Turning to Right and Left
EC Swing,1,Throwout
EC Swing,2,Triple Rhythm
EC Swing,2,American Spin from Double Handhold
EC Swing,2,Shoulder Check
EC Swing,2,Alternating Underarm Turn
EC Swing,2,Triple Rhythm
EC Swing,2,AmericanSpinfromHandshake
EC Swing,2,Cradle
EC Swing,2,Cradle with Points and Kicks
EC Swing,3,Cradle to Hammerlock
EC Swing,3,UAT with Shoulder Slide
EC Swing,3,Back & Forward Passes
EC Swing,3,Back and Forward Passes with Turn
EC Swing,3,Oposition Break and Roll Out
EC Swing,3,Swivels to Locks
EC Swing,3,Rocks
EC Swing,3,Walk Back with Kicks
Foxtrot,1,Basic
Foxtrot,1,Rock Turn to Left
Foxtrot,1,Promenade
Foxtrot,1,Sway Step
Foxtrot,2,Rock Turn to Right
Foxtrot,2,Promenade with UAT
Foxtrot,2,Sway Underarm Turn
Foxtrot,2,Zig Zag in Line
Foxtrot,2,Zig Zag Outside Partner
Foxtrot,2,Box Step
Foxtrot,2,Twinkle
Foxtrot,2,Promenade Twinkles
Foxtrot,3,Turning Twinkles to OPP
Foxtrot,3,Turning Twinkles to OPP with UAT
Foxtrot,3,Grapevine
Foxtrot,3,Promenade Twist
Foxtrot,3,Promenade Pivot
Foxtrot,3,Running Steps in Basic and Box Rhythm
Foxtrot,3,Twinkle and Weave with Grapevine
Foxtrot,3,Sweetheart Roll
